zone,year,mp_forecast,mp_lower_95,mp_upper_95,bodies_forecast,bodies_lower_95,bodies_upper_95,mp_slope,bodies_slope,mp_r2,bodies_r2
US-Mexico Border,2026,71.24927536231917,23.417184076664917,119.08136664797343,139.87536231884042,79.81102618897955,199.93969844870128,1.605427073697194,2.920690718470551,0.47885990721834804,0.6585436344810698
US-Mexico Border,2027,72.8547024360164,24.89286744561972,120.81653742641308,142.79605303731114,82.56879345411761,203.02331262050467,1.605427073697194,2.920690718470551,0.47885990721834804,0.6585436344810698
US-Mexico Border,2028,74.46012950971362,26.36351699573435,122.55674202369289,145.71674375578186,85.3202395867543,206.11324792480943,1.605427073697194,2.920690718470551,0.47885990721834804,0.6585436344810698
US-Mexico Border,2029,76.0655565834104,27.829174922047677,124.30193824477311,148.6374344742526,88.06541757259355,209.2094513759116,1.605427073697194,2.920690718470551,0.47885990721834804,0.6585436344810698
US-Mexico Border,2030,77.67098365710763,29.289884485753667,126.05208282846158,151.5581251927224,90.80438173614274,212.31186864930206,1.605427073697194,2.920690718470551,0.47885990721834804,0.6585436344810698
I-35 Corridor,2026,54.73333333333312,5.1654062076279175,104.30126045903833,13.863768115942037,2.681967590404149,25.045568641479925,1.4789392537773667,0.21621954979956826,0.4206673055950407,0.2337074695289472
I-35 Corridor,2027,56.21227258711042,6.509893332534574,105.91465184168626,14.079987665741612,2.8678567033175355,25.29211862816569,1.4789392537773667,0.21621954979956826,0.4206673055950407,0.2337074695289472
I-35 Corridor,2028,57.69121184088772,7.849163960342153,107.53325972143328,14.29620721554113,3.052569050661143,25.53984538042112,1.4789392537773667,0.21621954979956826,0.4206673055950407,0.2337074695289472
I-35 Corridor,2029,59.170151094665016,9.183261817356133,109.15704037197389,14.512426765340706,3.2361144964510746,25.78873903423034,1.4789392537773667,0.21621954979956826,0.4206673055950407,0.2337074695289472
I-35 Corridor,2030,60.649090348442314,10.512231734726626,110.785948962158,14.728646315140281,3.418503153940076,26.038789476340487,1.4789392537773667,0.21621954979956826,0.4206673055950407,0.2337074695289472
Pacific Northwest,2026,17.321739130434764,9.607176489854787,25.03630177101474,4.165217391304338,0.00671198504293713,8.32372279756574,0.19685476410730804,0.03755781683626271,0.3468771448181194,0.06238258513287462
Pacific Northwest,2027,17.518593894542107,9.783105638741194,25.25408215034302,4.202775208140608,0.032989929243539606,8.372560487037676,0.19685476410730804,0.03755781683626271,0.3468771448181194,0.06238258513287462
Pacific Northwest,2028,17.715448658649393,9.958222911965825,25.47267440533296,4.240333024976863,0.05883023498220119,8.421835814971525,0.19685476410730804,0.03755781683626271,0.3468771448181194,0.06238258513287462
Pacific Northwest,2029,17.912303422756736,10.132535114923776,25.692071730589696,4.277890841813132,0.08423657068101598,8.471545112945249,0.19685476410730804,0.03755781683626271,0.3468771448181194,0.06238258513287462
Pacific Northwest,2030,18.109158186864022,10.306049224963719,25.912267148764325,4.315448658649387,0.10921269745305917,8.521684619845715,0.19685476410730804,0.03755781683626271,0.3468771448181194,0.06238258513287462
Midwest Metro,2026,25.28695652173917,15.244132870398726,35.32978017307961,11.840579710144937,0.0,25.040540425742584,0.4516188714153561,-0.09096515572001232,0.6225658236028271,0.03729161369136366
Midwest Metro,2027,25.73857539315452,15.668510759628743,35.808640026680294,11.749614554424937,0.0,24.98537993086144,0.4516188714153561,-0.09096515572001232,0.6225658236028271,0.03729161369136366
Midwest Metro,2028,26.190194264569868,16.091831748490286,36.28855678064945,11.65864939870491,0.0,24.931608591443762,0.4516188714153561,-0.09096515572001232,0.6225658236028271,0.03729161369136366
Midwest Metro,2029,26.641813135985217,16.514104696251835,36.7695215757186,11.56768424298491,0.0,24.879214763155304,0.4516188714153561,-0.09096515572001232,0.6225658236028271,0.03729161369136366
Midwest Metro,2030,27.093432007400565,16.935338686031475,37.25152532876966,11.476719087264883,0.0,24.828186507441075,0.4516188714153561,-0.09096515572001232,0.6225658236028271,0.03729161369136366
Northeast Corridor,2026,24.59420289855086,12.199120871430713,36.98928492567101,30.373913043478296,0.0,93.99663425845023,0.3814369411039161,-0.39481961147086037,0.435802327998278,0.03045458420151955
Northeast Corridor,2027,24.97563983965472,12.546936370955095,37.40434330835434,29.979093432007403,0.0,93.77439015715152,0.3814369411039161,-0.39481961147086037,0.435802327998278,0.03045458420151955
Northeast Corridor,2028,25.35707678075869,12.893447419936939,37.82070614158044,29.58427382053651,0.0,93.55884167053551,0.3814369411039161,-0.39481961147086037,0.435802327998278,0.03045458420151955
Northeast Corridor,2029,25.738513721862546,13.238664952687264,38.238362491037826,29.189454209065616,0.0,93.34993267387183,0.3814369411039161,-0.39481961147086037,0.435802327998278,0.03045458420151955
Northeast Corridor,2030,26.119950662966517,13.582600179797812,38.657301146135225,28.794634597594836,0.0,93.14760562431124,0.3814369411039161,-0.39481961147086037,0.435802327998278,0.03045458420151955
Southern California,2026,62.96521739130458,35.27329061273162,90.65714416987754,17.550724637681014,0.0,37.495089206456115,1.0725254394079555,-0.8239284613012644,0.5502679725318022,0.5819459227601588
Southern California,2027,64.03774283071243,36.27070218872399,91.80478347270088,16.72679617637982,0.0,36.72525948259947,1.0725254394079555,-0.8239284613012644,0.5502679725318022,0.5819459227601588
Southern California,2028,65.11026827012074,37.26519948396946,92.95533705627201,15.9028677150784,0.0,35.95752869097457,1.0725254394079555,-0.8239284613012644,0.5502679725318022,0.5819459227601588
Southern California,2029,66.1827937095286,38.25680692687719,94.10878049218,15.078939253777207,0.0,35.19187923767733,1.0725254394079555,-0.8239284613012644,0.5502679725318022,0.5819459227601588
Southern California,2030,67.25531914893645,39.245549563097086,95.26508873477582,14.255010792476014,0.0,34.42829308425294,1.0725254394079555,-0.8239284613012644,0.5502679725318022,0.5819459227601588
